,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11,teams_sorted_key,match_stage
197.0,1976.0,2003-03-02,"st george's park, port elizabeth",gqeberha,england,australia,0.0,bat,1.0,ME Trescothick,AC Gilchrist,NV Knight,ML Hayden,MP Vaughan,RT Ponting,N Hussain,DR Martyn,AJ Stewart,DS Lehmann,PD Collingwood,MG Bevan,A Flintoff,A Symonds,C White,GB Hogg,AF Giles,B Lee,AR Caddick,AJ Bichel,JM Anderson,GD McGrath,australia||england,group
198.0,1977.0,2003-03-03,"willowmoore park, benoni",benoni,canada,new zealand,1.0,field,1.0,I Maraj,CD McMillan,JM Davison,SP Fleming,N Ifill,NJ Astle,IS Billcliff,CL Cairns,NA de Groot,AR Adams,JV Harris,SB Styris,A Bagai,CZ Harris,AM Samad,JDP Oram,A Codrington,DL Vettori,A Patel,BB McCullum,BB Seebaran,SE Bond,canada||new zealand,group
199.0,1978.0,2003-03-03,"goodyear park, bloemfontein",bloemfontein,netherlands,namibia,0.0,bat,0.0,JF Kloppenburg,AJ Burger,E Schiferli,M Karg,KJJ van Noortwijk,D Keulder,B Zuiderent,GB Murgatroyd,TBM de Leede,DB Kotze,LP van Troost,LJ Burger,DLS van Bunge,G Snyman,HJC Mol,SF Burger,JJ Esmeijer,M van Schoor,J Smits,BO van Rooi,Adeel Raja,RJ van Vuuren,namibia||netherlands,group
200.0,1982.0,2003-03-07,"supersport park, centurion",centurion,australia,sri lanka,0.0,bat,0.0,AC Gilchrist,MS Atapattu,ML Hayden,ST Jayasuriya,RT Ponting,HP Tillakaratne,DR Martyn,DPMD Jayawardene,DS Lehmann,PA de Silva,IJ Harvey,RP Arnold,MG Bevan,KC Sangakkara,GB Hogg,WPUJC Vaas,B Lee,M Muralitharan,AJ Bichel,CRD Fernando,GD McGrath,PW Gunaratne,australia||sri lanka,super_six
201.0,1983.0,2003-03-07,"newlands, cape town",cape town,kenya,india,0.0,bat,1.0,KO Otieno,V Sehwag,RD Shah,SR Tendulkar,SO Tikolo,SC Ganguly,TM Odoyo,M Kaif,MO Odumbe,R Dravid,CO Obuya,Yuvraj Singh,PJ Ongondo,D Mongia,MA Suji,Harbhajan Singh,AO Suji,Z Khan,BJ Patel,A Nehra,HS Modi,J Srinath,india||kenya,super_six
202.0,1984.0,2003-03-08,"goodyear park, bloemfontein",bloemfontein,zimbabwe,new zealand,0.0,bat,1.0,CB Wishart,CD McMillan,DD Ebrahim,SP Fleming,A Flower,NJ Astle,GW Flower,SB Styris,GJ Whittall,CL Cairns,T Taibu,CZ Harris,AM Blignaut,BB McCullum,HH Streak,JDP Oram,SM Ervine,AR Adams,BA Murphy,DL Vettori,DT Hondo,SE Bond,new zealand||zimbabwe,super_six
203.0,1985.0,2003-03-10,"new wanderers stadium, johannesburg",johannesburg,india,sri lanka,1.0,field,0.0,SR Tendulkar,MS Atapattu,V Sehwag,ST Jayasuriya,SC Ganguly,J Mubarak,M Kaif,DPMD Jayawardene,Yuvraj Singh,PA de Silva,R Dravid,KC Sangakkara,D Mongia,RP Arnold,Harbhajan Singh,WPUJC Vaas,Z Khan,RAP Nissanka,A Nehra,CRD Fernando,J Srinath,M Muralitharan,india||sri lanka,super_six
204.0,1986.0,2003-03-11,"st george's park, port elizabeth",gqeberha,australia,new zealand,1.0,field,0.0,AC Gilchrist,DL Vettori,ML Hayden,SP Fleming,RT Ponting,NJ Astle,DR Martyn,SB Styris,DS Lehmann,CL Cairns,MG Bevan,L Vincent,GB Hogg,CZ Harris,IJ Harvey,BB McCullum,AJ Bichel,JDP Oram,B Lee,AR Adams,GD McGrath,SE Bond,australia||new zealand,super_six
205.0,1987.0,2003-03-12,"goodyear park, bloemfontein",bloemfontein,zimbabwe,kenya,0.0,bat,1.0,CB Wishart,KO Otieno,ADR Campbell,RD Shah,A Flower,SO Tikolo,GW Flower,TM Odoyo,T Taibu,MO Odumbe,DD Ebrahim,HS Modi,AM Blignaut,CO Obuya,HH Streak,AO Suji,DA Marillier,MA Suji,HK Olonga,PJ Ongondo,DT Hondo,AY Karim,kenya||zimbabwe,super_six
206.0,1988.0,2003-03-14,"supersport park, centurion",centurion,new zealand,india,1.0,field,1.0,CD McMillan,V Sehwag,SP Fleming,SR Tendulkar,NJ Astle,SC Ganguly,SB Styris,M Kaif,BB McCullum,R Dravid,CL Cairns,Yuvraj Singh,CZ Harris,D Mongia,JDP Oram,J Srinath,DL Vettori,A Nehra,DR Tuffey,Z Khan,SE Bond,Harbhajan Singh,india||new zealand,super_six
