batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
Sarfraz Ahmed,164,0.016227235320259107,0.7378048780487805,0.7215776427285214,5.099866427824199,0.08275673262619249
NJ O'Brien,584,0.012581513143566002,0.696917808219178,0.6843362950756121,6.369900982828227,0.08014299293866733
JD Ryder,141,0.014791390160693902,0.6453900709219859,0.6305986807612919,4.948759890378168,0.07319903835017627
JH Kallis,463,0.010978828323295609,0.8423326133909287,0.831353785067633,6.137727054086234,0.06738505162205967
MJ Guptill,167,0.007869201341236998,0.718562874251497,0.71069367291026,5.117993812416755,0.04027452377311259
LP van Troost,114,0.008481742854029911,0.6491228070175439,0.6406410641635139,4.736198448394496,0.04017121734493757
DL Vettori,151,0.00428580999637598,0.7947019867549668,0.790416176758591,5.017279836814924,0.021503108079237047
WPUJC Vaas,184,0.0032748679228723236,0.6358695652173914,0.632594697294519,5.214935757608986,0.017078225832433548
Tamim Iqbal,330,0.002828516203031745,0.49696969696969695,0.4941411807666652,5.799092654460526,0.01640282753602397
AR White,139,0.0007346165595889344,0.762589928057554,0.761855311497965,4.9344739331306915,0.0036249462641377464
JP Duminy,415,-0.0003709054762859171,0.9783132530120482,0.9786841584883341,6.028278520230698,-0.0022359215157303305
EC Joyce,294,-0.0010163306099860547,0.6666666666666666,0.6676829972766528,5.683579767338681,-0.005776396091843721
Mashrafe Mortaza,197,-0.002883349395281204,0.700507614213198,0.7033909636084791,5.2832037287379885,-0.01523332227640408
MN Samuels,401,-0.004398103738702386,0.7780548628428927,0.7824529665815951,5.993961427306569,-0.026362064163074912
TBM de Leede,197,-0.005390581329643388,0.5482233502538071,0.5536139315834505,5.2832037287379885,-0.028479539380837332
DLS van Bunge,279,-0.005918295348100113,0.5627240143369175,0.5686423096850177,5.631211781821365,-0.033327174492519936
BJ Haddin,240,-0.009351817360560847,0.6208333333333333,0.6301851506938941,5.480638923341991,-0.05125393423027514
JE Root,263,-0.010459130460891353,0.8669201520912547,0.8773792825521461,5.572154032177765,-0.058279885970729035
HM Amla,201,-0.011459640305026842,0.6965174129353234,0.7079770532403502,5.303304908059076,-0.060773966674240454
AG Prince,112,-0.013933321189631743,0.7678571428571429,0.7817904640467745,4.718498871295094,-0.0657443603066694
SD Hope,218,-0.013413162554364543,0.7155963302752294,0.7290094928295939,5.384495062789089,-0.07222310755036336
Harbhajan Singh,115,-0.017995377396344516,0.808695652173913,0.8266910295702576,4.74493212836325,-0.0853868443699369
KL Rahul,417,-0.014202367457870447,0.8992805755395683,0.9134829429974388,6.0330862217988015,-0.08568410742700186
DS Smith,152,-0.019119087166341683,0.7302631578947368,0.7493822450610785,5.0238805208462765,-0.09605200959134602
CL Cairns,209,-0.01947675873176917,0.784688995215311,0.8041657539470802,5.342334251964811,-0.10405135528998515
D Keulder,213,-0.023275848033485317,0.6103286384976526,0.633604486531138,5.3612921657094255,-0.12478862171216797
GW Flower,181,-0.02769554096463646,0.7458563535911602,0.7735518945557968,5.198497031265826,-0.1439751874839637
DS Lehmann,196,-0.030169838174347992,0.9030612244897959,0.9332310626641439,5.278114659230517,-0.1592398651346386
